개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
영통종합사회복지관 강의실,영통종합사회복지관,회의실,"일요일,공휴일",18:00,21:00,09:00,17:00,Y,2,50000,,50000,,20,,온라인+모바일+방문,,경기도 수원시 영통구 반달로 45 (영통동) 청명동 4층 세미나실,경기도 수원시 영통구 영통동 1012-5,영통종합사회복지관,교육문화,031-201-8392,,37.2506852,127.0773862,2020-02-21,3740000,경기도 수원시
거제1동주민센터 회의실,거제1동주민센터 2층 회의실,회의실,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,N,,,,,30,,,,,부산광역시 연제구 법원북로 88(거제동),부산광역시 연제구 거제동 1485-1,부산광역시 연제구청,거제1동,051-665-5712,,35.19185363,129.0756394,2020-02-25,3370000,부산광역시 연제구
거제2동주민센터 강당,거제2동주민센터 3층 강당,강당,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,N,,,,,60,,,,,부산광역시 연제구 아시아드대로22번길 19(거제동),부산광역시 연제구 거제동 1180-8,부산광역시 연제구청,거제2동,051-665-5701,,35.187789,129.070281,2020-02-25,3370000,부산광역시 연제구
거제2동주민센터 강의실,거제2동주민센터 2층 강의실,강의실,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,N,,,,,40,,,,,부산광역시 연제구 아시아드대로22번길 19(거제동),부산광역시 연제구 거제동 1180-8,부산광역시 연제구청,거제2동,051-665-5701,,35.187789,129.070281,2020-02-25,3370000,부산광역시 연제구
거제2동주민센터 회의실,거제2동주민센터 2층 회의실,회의실,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,N,,,,,20,,,,,부산광역시 연제구 아시아드대로22번길 19(거제동),부산광역시 연제구 거제동 1180-8,부산광역시 연제구청,거제2동,051-665-5701,,35.187789,129.070281,2020-02-25,3370000,부산광역시 연제구
전시실,과천문화원,다목적실,-,08:00,23:00,08:00,23:00,Y,8,30000,,36000,50,225,,"인터넷, 전화, 방문, 이메일",,경기도 과천시 문원로 40-1,경기도 과천시 문원동 31-7번지,과천문화원,,02-504-6513,www.gccc.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
미디어실,과천문화원,다목적실,-,08:00,23:00,08:00,23:00,Y,1,5000,,6000,30,73,,"인터넷, 전화, 방문, 이메일",,경기도 과천시 문원로 40-1,경기도 과천시 문원동 31-7번지,과천문화원,,02-504-6513,www.gccc.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
영상강의실,과천문화원,강의실,-,08:00,23:00,08:00,23:00,Y,1,5000,,6000,50,91,,"인터넷, 전화, 방문, 이메일",,경기도 과천시 문원로 40-1,경기도 과천시 문원동 31-7번지,과천문화원,,02-504-6513,www.gccc.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
강의실1배움터,과천문화원,다목적실,-,08:00,23:00,08:00,23:00,Y,1,5000,,6000,20,58,,"인터넷, 전화, 방문, 이메일",,경기도 과천시 문원로 40-1,경기도 과천시 문원동 31-7번지,과천문화원,,02-504-6513,www.gccc.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
서예실3배움터,과천문화원,다목적실,-,08:00,23:00,08:00,23:00,Y,1,5000,,6000,20,82,,"인터넷, 전화, 방문, 이메일",,경기도 과천시 문원로 40-1,경기도 과천시 문원동 31-7번지,과천문화원,,02-504-6513,www.gccc.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
