시도명,시군구명,위도경도,시군구코드,도로명,상세위치,지정방향구분코드,금지구역총연장,주정차금지유형코드,평일주정차금지시작시각,평일주정차금지종료시각,일시적주정차허용시작시각(평일),일시적주정차허용종료시간(평일),토요일주정차금지시작시각,토요일주정차금지종료시각,일시적주정차허용시작시간(토요일),일시적주정차허용종료시간(토요일),공휴일주정차금지시작시각,공휴일주정차금지종료시각,일시적주정차허용시작시간(공휴일),일시적주정차허용종료시간(공휴일),명절허용여부,시행일자,해제일자,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,포천시,"37.8901894052982, 127.19513319440853",56000,신읍동 380-2,신동카쎈타↔포천고교 입구,1,385,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2010/11/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.89362963404317, 127.19078906441821",56000,신읍동 348,포천고교 후문↔유한아파트 앞,1,550,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2010/11/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.89595982925227, 127.19908547976405",56000,신읍동 129-2,포천감리교회↔담배인삼공사,1,60,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2010/11/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.89619989365759, 127.20016095278277",56000,신읍동 55-4,햇살가득(식당)↔다소니커피점,1,150,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2010/11/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.897145039969104, 127.20051851863302",56000,포천시 구절초로,신읍동 사거리↔포천천주교 앞(구절초길),1,400,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2010/11/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.89846275203407, 127.2009817932547",56000,신읍동 47-1,구)화랑이발관↔포천동주민센터(원앙길),1,280,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2010/11/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.90138337174846, 127.20579042023596",56000,신읍동 11-10,한신아파트 사거리↔포천농협,1,400,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2010/11/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.89857888867345, 127.20350830860048",56000,포천시 포천로,포천로(포천로1581-1 ~ 1622-1),1,420,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2013/05/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.895125830085306, 127.19949939139951",56000,신읍동 126-6,시청청사 뒷길(중앙로75번길~신읍길),1,145,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2014/05/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.90178914938425, 127.1995449067453",56000,신읍동 159,포천로 1624~1648(보건소사거리~포천병원),1,250,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2016/04/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.89995130374889, 127.20279760666972",56000,신읍동 189-2,원앙로쌈지주차장 앞 사거리~한빛맨션,1,500,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2018/05/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
경기도,포천시,"37.89103567699219, 127.18896142209113",56000,신읍동 701,극동@입구교차로 ~ 휴먼시아 입구,1,36,3,8:00,18:30,"11:30~13:30, 18:30~08:00",,0:00,0:00,종일,,0:00,0:00,종일,,Y,2018/05/01,,포천시청 교통행정과,031-538-3464,2020/06/30,5600000,경기도 포천시
